Game at 32/5000. p1Winns39800. p2Winns0. ties0. 

Game at 33/5000. p1Winns39800. p2Winns0. ties0. 

Game at 34/5000. p1Winns39800. p2Winns0. ties0. 

Game at 35/5000. p1Winns39800. p2Winns0. ties0. 

Game at 36/5000. p1Winns39800. p2Winns0. ties0. 

Game at 37/5000. p1Winns39800. p2Winns0. ties0. 

Game at 38/5000. p1Winns39800. p2Winns0. ties0. 

Game at 39/5000. p1Winns39800. p2Winns0. ties0. 

Game at 40/5000. p1Winns39800. p2Winns0. ties0. 

Game at 41/5000. p1Winns39800. p2Winns0. ties0. 

Game at 42/5000. p1Winns39800. p2Winns0. ties0. 

Game at 43/5000. p1Winns39800. p2Winns0. ties0. 

Game at 44/5000. p1Winns39800. p2Winns0. ties0. 

Game at 45/5000. p1Winns39800. p2Winns0. ties0. 

Game at 46/5000. p1Winns39800. p2Winns0. ties0. 

Game at 47/5000. p1Winns39800. p2Winns0. ties0. 

Game at 48/5000. p1Winns39800. p2Winns0. ties0. 

Game at 49/5000. p1Winns39800. p2Winns0. ties0. 

Game at 50/5000. p1Winns39800. p2Winns0. ties0. 

Game at 51/5000. p1Winns39800. p2Winns0. ties0. 

Game at 52/5000. p1Winns39800. p2Winns0. ties0. 

Game at 53/5000. p1Winns39800. p2Winns0. ties0. 

Game at 54/5000. p1Winns39800. p2Winns0. ties0. 

Game at 55/5000. p1Winns39800. p2Winns0. ties0. 

Game at 56/5000. p1Winns39800. p2Winns0. ties0. 

Game at 57/5000. p1Winns39800. p2Winns0. ties0. 

Game at 58/5000. p1Winns39800. p2Winns0. ties0. 

Game at 59/5000. p1Winns39800. p2Winns0. ties0. 

Game at 60/5000. p1Winns39800. p2Winns0. ties0. 

Game at 61/5000. p1Winns39800. p2Winns0. ties0. 

Game at 62/5000. p1Winns39800. p2Winns0. ties0. 

Game at 63/5000. p1Winns39800. p2Winns0. ties0. 

Game at 64/5000. p1Winns39800. p2Winns0. ties0. 

Game at 65/5000. p1Winns39800. p2Winns0. ties0. 

Game at 66/5000. p1Winns39800. p2Winns0. ties0. 

Game at 67/5000. p1Winns39800. p2Winns0. ties0. 

Game at 68/5000. p1Winns39800. p2Winns0. ties0. 

Game at 69/5000. p1Winns39800. p2Winns0. ties0. 

Game at 70/5000. p1Winns39800. p2Winns0. ties0. 

Game at 71/5000. p1Winns39800. p2Winns0. ties0. 

Game at 72/5000. p1Winns39800. p2Winns0. ties0. 

Game at 73/5000. p1Winns39800. p2Winns0. ties0. 

Game at 74/5000. p1Winns39800. p2Winns0. ties0. 

Game at 75/5000. p1Winns39800. p2Winns0. ties0. 

Game at 76/5000. p1Winns39800. p2Winns0. ties0. 

Game at 77/5000. p1Winns39800. p2Winns0. ties0. 

Game at 78/5000. p1Winns39800. p2Winns0. ties0. 

Game at 79/5000. p1Winns39800. p2Winns0. ties0. 

Game at 80/5000. p1Winns39800. p2Winns0. ties0. 

Game at 81/5000. p1Winns39800. p2Winns0. ties0. 

Game at 82/5000. p1Winns39800. p2Winns0. ties0. 

Game at 83/5000. p1Winns39800. p2Winns0. ties0. 

Game at 84/5000. p1Winns39800. p2Winns0. ties0. 

Game at 85/5000. p1Winns39800. p2Winns0. ties0. 

Game at 86/5000. p1Winns39800. p2Winns0. ties0. 

Game at 87/5000. p1Winns39800. p2Winns0. ties0. 

Game at 88/5000. p1Winns39800. p2Winns0. ties0. 

Game at 89/5000. p1Winns39800. p2Winns0. ties0. 

Game at 90/5000. p1Winns39800. p2Winns0. ties0. 

Game at 91/5000. p1Winns39800. p2Winns0. ties0. 

Game at 92/5000. p1Winns39800. p2Winns0. ties0. 

Game at 93/5000. p1Winns39800. p2Winns0. ties0. 

Game at 94/5000. p1Winns39800. p2Winns0. ties0. 

Game at 95/5000. p1Winns39800. p2Winns0. ties0. 

Game at 96/5000. p1Winns39800. p2Winns0. ties0. 

Game at 97/5000. p1Winns39800. p2Winns0. ties0. 

Game at 98/5000. p1Winns39800. p2Winns0. ties0. 

Game at 99/5000. p1Winns39800. p2Winns0. ties0. 

Game at 100/5000. p1Winns39800. p2Winns0. ties0. 

Game at 101/5000. p1Winns39800. p2Winns0. ties0. 

Game at 102/5000. p1Winns39800. p2Winns0. ties0. 

Game at 103/5000. p1Winns39800. p2Winns0. ties0. 

Game at 104/5000. p1Winns39800. p2Winns0. ties0. 

Game at 1/5000. p1Winns25146. p2Winns8712. ties5942. 

Game at 2/5000. p1Winns12362. p2Winns9162. ties18276. 

Game at 3/5000. p1Winns33372. p2Winns2070. ties4358. 

Game at 4/5000. p1Winns37461. p2Winns1921. ties418. 

Game at 5/5000. p1Winns2532. p2Winns969. ties36299. 

Game at 6/5000. p1Winns39404. p2Winns200. ties196. 

Game at 7/5000. p1Winns39800. p2Winns0. ties0. 

Game at 8/5000. p1Winns39800. p2Winns0. ties0. 

Game at 9/5000. p1Winns39012. p2Winns4. ties784. 

Game at 10/5000. p1Winns39800. p2Winns0. ties0. 

Game at 11/5000. p1Winns39800. p2Winns0. ties0. 

Game at 12/5000. p1Winns39800. p2Winns0. ties0. 

Game at 13/5000. p1Winns39800. p2Winns0. ties0. 

Game at 14/5000. p1Winns39800. p2Winns0. ties0. 

Game at 15/5000. p1Winns39800. p2Winns0. ties0. 

Game at 16/5000. p1Winns39800. p2Winns0. ties0. 

Game at 17/5000. p1Winns39800. p2Winns0. ties0. 

Game at 18/5000. p1Winns39800. p2Winns0. ties0. 

Game at 19/5000. p1Winns39800. p2Winns0. ties0. 

Game at 20/5000. p1Winns39800. p2Winns0. ties0. 

Game at 21/5000. p1Winns39800. p2Winns0. ties0. 

Game at 22/5000. p1Winns39800. p2Winns0. ties0. 

Game at 23/5000. p1Winns39800. p2Winns0. ties0. 

Game at 24/5000. p1Winns39800. p2Winns0. ties0. 

Game at 25/5000. p1Winns39800. p2Winns0. ties0. 

Game at 26/5000. p1Winns39800. p2Winns0. ties0. 

Game at 27/5000. p1Winns39800. p2Winns0. ties0. 

